Employee_ID,Age,Gender,Department,Job_Role,Education,Marital_Status,Business_Travel,Distance_From_Home,Monthly_Income,Bonus,Overtime,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Performance_Rating,Training_Times_Last_Year,Percent_Salary_Hike,Years_at_Company,Years_in_Current_Role,Years_Since_Last_Promotion,Total_Working_Years,Projects_Completed,Absenteeism_Days,Remote_Work,Manager_Rating,Attrition
100001,41,Male,Sales,Analyst,PhD,Married,Rarely,8.0,8447.0,1243,Yes,1.0,4,1,1,3,6,13,12,3,0,18,10,18,No,2,Yes
100002,35,Female,IT,Analyst,Master,Married,Rarely,18.0,7394.0,6333,Yes,3.0,1,1,4,3,4,16,8,7,8,14,7,10,No,5,No
100003,44,Female,Customer Support,Manager,Bachelor,Single,Non-Travel,14.0,7509.0,1851,Yes,2.0,3,2,1,5,3,23,7,0,1,19,13,17,No,4,No
100004,43,Male,Marketing,Associate,PhD,Married,Non-Travel,13.0,8255.0,7766,Yes,1.0,3,1,3,4,3,21,14,2,1,15,8,1,Yes,4,No
100005,29,Female,IT,Specialist,Diploma,Divorced,Frequently,12.0,5039.0,6092,No,4.0,4,2,1,3,1,12,3,1,1,5,4,7,Yes,5,No
100006,58,Female,IT,Associate,Bachelor,Married,Non-Travel,26.0,11989.0,5081,No,1.0,4,4,2,4,3,22,8,1,7,35,11,12,Yes,3,No
100007,25,Male,HR,Manager,Bachelor,Single,Rarely,20.0,2535.0,3582,Yes,1.0,2,3,3,5,2,21,1,1,0,1,2,15,No,5,Yes
100008,51,Male,Finance,Engineer,Diploma,Single,Non-Travel,18.0,9780.0,7988,Yes,1.0,1,3,3,3,5,12,2,2,1,26,9,11,Yes,4,No
100009,35,Female,Finance,Executive,PhD,Married,Non-Travel,1.0,4219.0,728,No,3.0,3,4,2,5,2,16,4,4,2,6,8,11,No,2,No
100010,35,Male,Customer Support,Associate,Diploma,Divorced,Rarely,27.0,6936.0,5911,No,2.0,1,4,3,3,6,16,3,3,1,13,7,20,No,2,No
100011,46,Female,IT,Engineer,PhD,Divorced,Frequently,5.0,6172.0,4994,Yes,2.0,2,1,2,3,0,13,12,8,2,18,7,6,Yes,2,No
100012,37,Male,Sales,Associate,Diploma,Married,Non-Travel,19.0,7189.0,7176,No,2.0,4,2,3,3,4,14,4,4,4,13,1,14,Yes,2,No
100013,30,Female,HR,Engineer,Bachelor,Single,Rarely,9.0,6434.0,845,No,1.0,1,4,1,3,4,10,2,0,1,7,6,19,Yes,4,No
100014,49,Male,R&D,Analyst,PhD,Married,Frequently,3.0,7329.0,5998,No,2.0,2,4,3,5,0,16,17,10,4,20,13,3,Yes,4,No
100015,30,Male,IT,Associate,PhD,Divorced,Frequently,11.0,5195.0,3951,No,2.0,2,3,1,4,2,12,1,1,0,5,6,17,No,5,No
100016,22,Male,HR,Manager,Diploma,Single,Rarely,9.0,3036.0,6691,No,3.0,2,4,1,3,6,18,0,0,0,0,9,16,No,4,No
100017,26,Female,HR,Engineer,Master,Single,Frequently,28.0,2388.0,1496,Yes,4.0,4,1,1,3,2,23,0,0,0,1,1,16,Yes,2,No
100018,31,Male,Marketing,Manager,Bachelor,Married,Rarely,1.0,5595.0,651,Yes,2.0,2,4,3,3,1,24,0,0,0,6,11,15,No,4,No
100019,34,Male,HR,Associate,Diploma,Married,Rarely,2.0,4522.0,1192,No,2.0,4,3,4,3,4,17,5,5,2,10,1,14,Yes,3,No
100020,38,Female,Finance,Manager,Master,Single,Frequently,13.0,5625.0,1187,No,3.0,4,3,3,5,4,16,0,0,0,10,2,8,Yes,3,No
100021,46,Male,R&D,Manager,PhD,Single,Frequently,24.0,7946.0,5568,Yes,3.0,2,1,3,3,6,23,12,8,2,25,15,16,Yes,3,No
100022,26,Male,Finance,Specialist,Diploma,Single,Frequently,26.0,5048.0,1074,Yes,3.0,1,1,1,4,5,25,0,0,0,5,14,8,Yes,3,No
100023,35,Male,HR,Engineer,Master,Married,Frequently,21.0,3831.0,6588,No,1.0,3,2,4,3,0,25,7,0,7,7,5,3,Yes,5,No
100024,39,Male,Customer Support,Analyst,Diploma,Married,Rarely,27.0,6549.0,4650,No,4.0,4,3,4,3,3,16,4,1,0,10,10,2,Yes,4,No
100025,44,Female,R&D,Analyst,Master,Single,Frequently,22.0,7667.0,4192,No,3.0,4,3,1,3,5,14,19,6,5,21,7,10,Yes,4,No
100026,21,Male,R&D,Specialist,Bachelor,Married,Frequently,25.0,3287.0,2754,No,1.0,1,3,2,3,0,11,0,0,0,0,4,8,No,4,No
100027,33,Female,Customer Support,Engineer,Master,Divorced,Frequently,16.0,3842.0,901,Yes,4.0,2,2,2,3,3,23,6,2,2,7,5,8,No,5,No
100028,36,Male,Customer Support,Engineer,Master,Married,Frequently,25.0,7154.0,4186,No,4.0,4,2,1,3,4,16,7,3,1,11,3,10,Yes,4,No
100029,36,Male,R&D,Manager,Diploma,Single,Frequently,9.0,5868.0,5204,No,2.0,3,2,1,4,5,16,4,0,2,10,15,7,No,5,No
100030,49,Female,Sales,Analyst,PhD,Divorced,Frequently,15.0,8878.0,2535,Yes,2.0,1,2,1,4,1,14,9,8,1,22,14,20,No,2,No
100031,56,Female,HR,Analyst,Bachelor,Married,Non-Travel,19.0,10324.0,2070,Yes,2.0,4,3,1,3,1,10,0,0,0,35,8,8,No,3,No
100032,51,Male,Sales,Executive,PhD,Divorced,Non-Travel,14.0,9826.0,1164,No,2.0,3,2,1,4,5,23,7,5,3,22,8,1,No,5,No
100033,44,Female,Finance,Executive,PhD,Single,Frequently,25.0,7870.0,7785,Yes,3.0,3,1,1,3,4,25,6,4,1,17,15,7,No,5,No
100034,24,Male,IT,Specialist,PhD,Divorced,Frequently,24.0,2901.0,1427,Yes,2.0,1,2,1,5,2,16,1,0,1,1,1,9,No,4,Yes
100035,42,Male,Finance,Specialist,Diploma,Married,Frequently,3.0,5510.0,903,Yes,1.0,4,2,1,3,2,24,2,0,1,14,6,15,Yes,5,Yes
100036,36,Male,Operations,Manager,Diploma,Married,Non-Travel,2.0,4333.0,2647,No,1.0,3,3,4,3,2,10,0,0,0,9,14,7,Yes,5,No
100037,50,Female,IT,Engineer,Master,Married,Frequently,15.0,7909.0,3464,No,4.0,1,2,2,4,3,15,8,3,6,23,2,20,Yes,5,Yes
